,value,trade_price,position_value,cash,signal
2022-02-09 10:04:00,982356.6848799998,4587.6,980376.7999999999,1979.8848799999105,1
2022-02-09 10:05:00,982356.6848799998,4590.2,980376.7999999999,1979.8848799999105,1
2022-02-09 10:06:00,982356.6848799998,4590.8,980376.7999999999,1979.8848799999105,1
2022-02-09 10:07:00,983127.08488,4584.8,981147.2000000001,1979.8848799999105,0
2022-02-09 10:08:00,984068.6848799998,4589.2,982088.7999999999,1979.8848799999105,0
2022-02-09 10:09:00,982527.8848799999,4582.0,980548.0,1979.8848799999105,0
2022-02-09 10:10:00,982485.08488,4581.8,980505.2000000001,1979.8848799999105,0
2022-02-09 10:11:00,982998.6848799998,4584.2,981018.7999999999,1979.8848799999105,0
2022-02-09 10:12:00,982784.6848799998,4583.2,980804.7999999999,1979.8848799999105,0
2022-02-09 10:13:00,981843.08488,4578.8,979863.2000000001,1979.8848799999105,0
2022-02-09 10:14:00,981885.8848799999,4579.0,979906.0,1979.8848799999105,0
2022-02-09 10:15:00,982955.8848799999,4584.0,980976.0,1979.8848799999105,0
2022-02-09 10:16:00,983298.2848799999,4585.6,981318.4,1979.8848799999105,0
2022-02-09 10:17:00,983811.8848799999,4588.0,981832.0,1979.8848799999105,0
2022-02-09 10:18:00,983512.2848799999,4586.6,981532.4,1979.8848799999105,0
2022-02-09 10:19:00,984197.08488,4589.8,982217.2000000001,1979.8848799999105,0
2022-02-09 10:20:00,985138.6848799998,4594.2,983158.7999999999,1979.8848799999105,0
2022-02-09 10:21:00,985866.2848799999,4597.6,983886.4,1979.8848799999105,0
2022-02-09 10:22:00,985352.6848799998,4595.2,983372.7999999999,1979.8848799999105,0
2022-02-09 10:23:00,985737.8848799999,4597.0,983758.0,1979.8848799999105,0
2022-02-09 10:24:00,985352.6848799998,4595.2,983372.7999999999,1979.8848799999105,0
2022-02-09 10:25:00,985951.8848799999,4598.0,983972.0,1979.8848799999105,0
2022-02-09 10:26:00,985583.9247199999,4597.2,0.0,985583.9247199999,-1
2022-02-09 10:27:00,985387.0960799999,4598.8,984143.2000000001,1243.8960799998604,1
2022-02-09 10:28:00,985275.8503199997,4599.2,0.0,985275.8503199997,-1
2022-02-09 10:29:00,985275.8503199997,4600.8,0.0,985275.8503199997,-1
2022-02-09 10:30:00,985275.8503199997,4601.8,0.0,985275.8503199997,0
2022-02-09 10:31:00,985275.8503199997,4602.4,0.0,985275.8503199997,-1
2022-02-09 10:32:00,985275.8503199997,4599.4,0.0,985275.8503199997,0
2022-02-09 10:33:00,985275.8503199997,4596.0,0.0,985275.8503199997,-1
2022-02-09 10:34:00,985275.8503199997,4595.0,0.0,985275.8503199997,-1
2022-02-09 10:35:00,985275.8503199997,4596.0,0.0,985275.8503199997,-1
2022-02-09 10:36:00,985275.8503199997,4595.8,0.0,985275.8503199997,-1
2022-02-09 10:37:00,985275.8503199997,4593.8,0.0,985275.8503199997,0
2022-02-09 10:38:00,985275.8503199997,4598.8,0.0,985275.8503199997,0
2022-02-09 10:39:00,985275.8503199997,4602.4,0.0,985275.8503199997,0
2022-02-09 10:40:00,985275.8503199997,4600.4,0.0,985275.8503199997,0
2022-02-09 10:41:00,985275.8503199997,4599.8,0.0,985275.8503199997,0
2022-02-09 10:42:00,985275.8503199997,4597.4,0.0,985275.8503199997,0
